Genero;Vehiculo;Propiedad;Hijos;Ingresos_Anuales;Categoria_Ingresos;Nivel_Educacion;Estado Civil;Tipo_Vivienda;Edad;Empleo;Tamano_Familia;Estado
M;Y;Y;0;427500;Working;Higher education;Civil marriage;Rented apartment;33;N;2;6
M;Y;Y;0;427500;Working;Higher education;Civil marriage;Rented apartment;33;N;2;6
M;Y;Y;0;112500;Working;Secondary / secondary special;Married;House / apartment;59;N;2;6
F;N;Y;0;270000;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;53;N;1;0
F;N;Y;0;270000;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;53;N;1;7
F;N;Y;0;270000;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;53;N;1;6
F;N;Y;0;270000;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;53;N;1;6
F;N;Y;0;283500;Pensioner;Higher education;Separated;House / apartment;62;Y;1;0
F;N;Y;0;283500;Pensioner;Higher education;Separated;House / apartment;62;Y;1;0
F;N;Y;0;283500;Pensioner;Higher education;Separated;House / apartment;62;Y;1;0
M;Y;Y;0;270000;Working;Higher education;Married;House / apartment;47;N;2;0
M;Y;Y;0;270000;Working;Higher education;Married;House / apartment;47;N;2;7
M;Y;Y;0;135000;Commercial associate;Secondary / secondary special;Married;House / apartment;49;N;2;7
M;Y;Y;0;135000;Commercial associate;Secondary / secondary special;Married;House / apartment;49;N;2;7
M;Y;Y;0;135000;Commercial associate;Secondary / secondary special;Married;House / apartment;49;N;2;7
M;Y;Y;0;135000;Commercial associate;Secondary / secondary special;Married;House / apartment;49;N;2;7
M;Y;Y;0;135000;Commercial associate;Secondary / secondary special;Married;House / apartment;49;N;2;7
M;Y;Y;0;135000;Commercial associate;Secondary / secondary special;Married;House / apartment;49;N;2;0
F;Y;N;0;130500;Working;Incomplete higher;Married;House / apartment;30;N;2;0
F;Y;N;0;130500;Working;Incomplete higher;Married;House / apartment;30;N;2;6
F;N;Y;0;157500;Working;Secondary / secondary special;Married;House / apartment;28;N;2;6
F;N;Y;0;157500;Working;Secondary / secondary special;Married;House / apartment;28;N;2;6
F;N;Y;0;157500;Working;Secondary / secondary special;Married;House / apartment;28;N;2;6
F;N;Y;1;112500;Working;Secondary / secondary special;Single / not married;House / apartment;30;N;2;6
F;N;Y;1;112500;Working;Secondary / secondary special;Single / not married;House / apartment;30;N;2;7
M;Y;Y;3;270000;Working;Secondary / secondary special;Married;House / apartment;35;N;5;6
M;Y;Y;3;270000;Working;Secondary / secondary special;Married;House / apartment;35;N;5;6
M;N;Y;1;405000;Commercial associate;Higher education;Married;House / apartment;33;N;3;7
M;N;Y;1;405000;Commercial associate;Higher education;Married;House / apartment;33;N;3;6
M;N;Y;1;405000;Commercial associate;Higher education;Married;House / apartment;33;N;3;6
M;N;Y;1;405000;Commercial associate;Higher education;Married;House / apartment;33;N;3;0
M;N;Y;1;405000;Commercial associate;Higher education;Married;House / apartment;33;N;3;0
M;N;Y;1;405000;Commercial associate;Higher education;Married;House / apartment;33;N;3;6
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;6
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;0
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;6
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;6
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;0
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;0
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;0
M;Y;Y;0;112500;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N;2;6
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;6
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;7
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;6
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;0
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;7
F;Y;Y;2;135000;Working;Secondary / secondary special;Married;House / apartment;44;N;4;6
F;N;Y;1;211500;State servant;Secondary / secondary special;Civil marriage;House / apartment;45;N;3;0
F;N;Y;1;211500;State servant;Secondary / secondary special;Civil marriage;House / apartment;45;N;3;0
M;Y;Y;0;360000;Commercial associate;Secondary / secondary special;Married;House / apartment;46;N;2;0
